epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.27065804600715637,9.999999747378752e-05,4.271212100982666,0.2819475531578064,5.337244987487793
1,0.328125,9.999999747378752e-05,3.7585625648498535,0.699999988079071,3.510685682296753
2,0.32291847467422485,9.999999747378752e-05,3.4571385383605957,0.3928571343421936,3.1482715606689453
3,0.46875,9.999999747378752e-05,3.06740140914917,0.30000001192092896,3.3163719177246094
4,0.36952346563339233,9.999999747378752e-05,2.9288671016693115,0.4206194281578064,2.635683059692383
5,0.3125,9.999999747378752e-05,2.8606810569763184,0.5,2.481102228164673
6,0.3988479673862457,9.999999747378752e-05,2.531193971633911,0.4645647406578064,2.2423338890075684
7,0.359375,9.999999747378752e-05,2.38600754737854,0.699999988079071,2.1680750846862793
8,0.4298132359981537,1.9999999494757503e-05,2.2935965061187744,0.486328125,2.1313722133636475
9,0.390625,1.9999999494757503e-05,2.3361082077026367,0.6000000238418579,1.804187536239624
10,0.44632571935653687,1.9999999494757503e-05,2.2103207111358643,0.4789341390132904,2.08610463142395
11,0.53125,1.9999999494757503e-05,2.074479818344116,0.699999988079071,1.8647648096084595
12,0.44855996966362,1.9999999494757503e-05,2.145411968231201,0.4976283609867096,1.9979708194732666
13,0.4375,1.9999999494757503e-05,2.0979340076446533,0.4000000059604645,1.9222228527069092
14,0.46130216121673584,3.999999989900971e-06,2.0919551849365234,0.5059989094734192,1.9759677648544312
15,0.546875,3.999999989900971e-06,1.999442458152771,0.6000000238418579,1.7611429691314697
16,0.4658404588699341,3.999999989900971e-06,2.079087018966675,0.5083705186843872,1.965698480606079
17,0.359375,3.999999989900971e-06,2.224226474761963,0.4000000059604645,1.979766607284546
18,0.4676208794116974,3.999999989900971e-06,2.0600202083587646,0.51171875,1.9505341053009033
19,0.421875,3.999999989900971e-06,2.108919143676758,0.6000000238418579,1.9422149658203125
20,0.4729621112346649,8.000000093488779e-07,2.0498368740081787,0.5121372938156128,1.9470030069351196
21,0.578125,8.000000093488779e-07,1.8667247295379639,0.6000000238418579,1.9741119146347046
22,0.4663641154766083,8.000000093488779e-07,2.0507988929748535,0.5119977593421936,1.9439259767532349
23,0.390625,8.000000093488779e-07,2.1597440242767334,0.4000000059604645,2.093287467956543
24,0.4716704487800598,8.000000093488779e-07,2.047616958618164,0.5126953125,1.9418106079101562
25,0.46875,8.000000093488779e-07,2.0300590991973877,0.5,2.0489706993103027
26,0.4735206961631775,1.5999999902760464e-07,2.044154167175293,0.5129743218421936,1.9414175748825073
27,0.5,1.5999999902760464e-07,2.0057272911071777,0.4000000059604645,2.1281919479370117
28,0.4686332643032074,1.5999999902760464e-07,2.0472280979156494,0.5126953125,1.9405877590179443
29,0.484375,1.5999999902760464e-07,1.9101561307907104,0.4000000059604645,2.0415990352630615
30,0.4681445360183716,1.5999999902760464e-07,2.048535108566284,0.5129743218421936,1.9399750232696533
31,0.484375,1.5999999902760464e-07,2.094583034515381,0.5,2.3033294677734375
32,0.47254320979118347,3.199999909497819e-08,2.037949800491333,0.5131138563156128,1.9404271841049194
33,0.328125,3.199999909497819e-08,2.3680403232574463,0.4000000059604645,1.8112688064575195
34,0.4750567376613617,3.199999909497819e-08,2.0403523445129395,0.5129743218421936,1.93990159034729
35,0.546875,3.199999909497819e-08,1.9078152179718018,0.5,2.053191661834717
36,0.471251517534256,3.199999909497819e-08,2.041688919067383,0.5131138563156128,1.9401050806045532
37,0.515625,3.199999909497819e-08,1.941189169883728,0.6000000238418579,1.7501106262207031
38,0.4736952483654022,6.399999641359955e-09,2.037799119949341,0.5132533311843872,1.9394605159759521
39,0.578125,6.399999641359955e-09,1.8133808374404907,0.30000001192092896,2.1188852787017822
40,0.47034385800361633,6.399999641359955e-09,2.0443203449249268,0.5135323405265808,1.9389914274215698
41,0.484375,6.399999641359955e-09,1.9896953105926514,0.20000000298023224,2.55891752243042
42,0.46671321988105774,6.399999641359955e-09,2.04848313331604,0.5128348469734192,1.9394842386245728
43,0.453125,6.399999641359955e-09,2.046156406402588,0.4000000059604645,2.0699000358581543
44,0.47215917706489563,1.27999988386307e-09,2.0439035892486572,0.5132533311843872,1.9404419660568237
45,0.390625,1.27999988386307e-09,2.2201130390167236,0.5,1.5172680616378784
46,0.47624367475509644,1.27999988386307e-09,2.040151596069336,0.5129743218421936,1.9401953220367432
47,0.53125,1.27999988386307e-09,1.9826724529266357,0.6000000238418579,1.869866967201233
48,0.473206490278244,1.27999988386307e-09,2.0447306632995605,0.5131138563156128,1.9400688409805298
49,0.484375,1.27999988386307e-09,1.9072129726409912,0.4000000059604645,1.6532617807388306
50,0.47418397665023804,2.5599997122149887e-10,2.038588523864746,0.5125557780265808,1.9406017065048218
51,0.359375,2.5599997122149887e-10,2.0952603816986084,0.699999988079071,1.5454133749008179
52,0.4719497263431549,2.5599997122149887e-10,2.03989577293396,0.5125557780265808,1.9407832622528076
53,0.5,2.5599997122149887e-10,2.084791898727417,0.8999999761581421,1.249055027961731
54,0.47236865758895874,2.5599997122149887e-10,2.0413143634796143,0.5135323405265808,1.9394606351852417
55,0.5,2.5599997122149887e-10,2.0076682567596436,0.30000001192092896,2.082237958908081
